Serial,Exchange,Symbol,Multiplier
1,NSE,AARTIIND,6.7x
2,NSE,AAVAS,6.7x
3,NSE,ABBOTINDIA,6.7x
4,NSE,ABCAPITAL,6.7x
5,NSE,ABFRL,6.7x
6,NSE,ACC,6.7x
7,NSE,ADANIGREEN,6.7x
8,NSE,ADANIPORTS,6.7x
9,NSE,ADANIPOWER,6.7x
10,NSE,ADANITRANS,5x
11,NSE,ADVENZYMES,6.7x
12,NSE,AEGISCHEM,6.7x
13,NSE,AIAENG,6.7x
14,NSE,AJANTPHARM,6.7x
15,NSE,AKZOINDIA,6.7x
16,NSE,ALKEM,6.7x
17,NSE,ALLCARGO,6.7x
18,NSE,AMARAJABAT,6.1x
19,NSE,AMBER,6.7x
20,NSE,AMBUJACEM,6.7x
21,NSE,APLAPOLLO,5x
22,NSE,APLLTD,6.7x
23,NSE,APOLLOHOSP,6.7x
24,NSE,APOLLOTYRE,6.7x
25,NSE,ARVINDFASN,6.7x
26,NSE,ASAHIINDIA,6.7x
27,NSE,ASHOKA,6.7x
28,NSE,ASHOKLEY,6.2x
29,NSE,ASIANPAINT,6.7x
30,NSE,ASTERDM,6.7x
31,NSE,ASTRAL,6.7x
32,NSE,ASTRAZEN,6.7x
33,NSE,ATUL,6.7x
34,NSE,AUBANK,6.7x
35,NSE,AUROPHARMA,6x
36,NSE,AVANTIFEED,6.7x
37,NSE,AXISBANK,6.7x
38,NSE,BAJAJ-AUTO,6.7x
39,NSE,BAJAJCON,6.7x
40,NSE,BAJAJELEC,6.7x
41,NSE,BAJAJFINSV,6.7x
42,NSE,BAJAJHLDNG,6.7x
43,NSE,BAJFINANCE,6.7x
44,NSE,BALKRISIND,6.7x
45,NSE,BALMLAWRIE,6.7x
46,NSE,BALRAMCHIN,5x
47,NSE,BANDHANBNK,5x
48,NSE,BANKBARODA,5x
49,NSE,BANKINDIA,6.7x
50,NSE,BASF,6.7x
51,NSE,BATAINDIA,6.7x
52,NSE,BAYERCROP,6.7x
53,NSE,BBTC,6.7x
54,NSE,BDL,6.7x
55,NSE,BEL,6.7x
56,NSE,BEML,6.7x
57,NSE,BERGEPAINT,6.7x
58,NSE,BHARATFORG,6.7x
59,NSE,BHARTIARTL,6.7x
60,NSE,BHEL,5x
61,NSE,BIOCON,6.7x
62,NSE,BIRLACORPN,5x
63,NSE,BLISSGVS,6.7x
64,NSE,BLUEDART,6.7x
65,NSE,BLUESTARCO,6.7x
66,NSE,BOMDYEING,6.7x
67,NSE,BOSCHLTD,6.7x
68,NSE,BPCL,5x
69,NSE,BRIGADE,6.7x
70,NSE,BRITANNIA,6.7x
71,NSE,BSE,6.7x
72,NSE,BSOFT,6.7x
73,NSE,CADILAHC,6.7x
74,NSE,CANBK,5x
75,NSE,CANFINHOME,6.7x
76,NSE,CAPLIPOINT,6.7x
77,NSE,CARBORUNIV,6.7x
78,NSE,CARERATING,6.7x
79,NSE,CASTROLIND,6.7x
80,NSE,CCL,6.7x
81,NSE,CDSL,5x
82,NSE,CEATLTD,6.7x
83,NSE,CENTRALBK,6.7x
84,NSE,CENTURYPLY,5x
85,NSE,CERA,6.7x
86,NSE,CESC,6.7x
87,NSE,CGCL,5x
88,NSE,CHALET,6.7x
89,NSE,CHAMBLFERT,5x
90,NSE,CHENNPETRO,6.7x
91,NSE,CHOLAFIN,5.8x
92,NSE,CHOLAHLDNG,6.7x
93,NSE,CIPLA,6.7x
94,NSE,COALINDIA,6.7x
95,NSE,COCHINSHIP,6.7x
96,NSE,COLPAL,6.7x
97,NSE,CONCOR,6x
98,NSE,COROMANDEL,6.7x
99,NSE,CREDITACC,6.7x
100,NSE,CRISIL,6.7x
101,NSE,CROMPTON,6.7x
102,NSE,CUB,6.7x
103,NSE,CUMMINSIND,6.7x
104,NSE,CYIENT,5x
105,NSE,DABUR,6.7x
106,NSE,DALBHARAT,5x
107,NSE,DBCORP,6.7x
108,NSE,DBL,6.7x
109,NSE,DCAL,6.4x
110,NSE,DCBBANK,6.7x
111,NSE,DCMSHRIRAM,6.7x
112,NSE,DEEPAKNTR,6.7x
113,NSE,DELTACORP,6.7x
114,NSE,DHFL,6x
115,NSE,DISHTV,5.7x
116,NSE,DIVISLAB,6.7x
117,NSE,DIXON,6.7x
118,NSE,DLF,6.7x
119,NSE,DRREDDY,6.7x
120,NSE,ECLERX,5x
121,NSE,EDELWEISS,6.7x
122,NSE,EICHERMOT,6.7x
123,NSE,EIDPARRY,6.7x
124,NSE,EIHOTEL,6.7x
125,NSE,ELGIEQUIP,5x
126,NSE,EMAMILTD,6.7x
127,NSE,ENDURANCE,6.7x
128,NSE,ENGINERSIN,6.7x
129,NSE,EQUITAS,6.7x
130,NSE,ERIS,6.7x
131,NSE,ESCORTS,6.7x
132,NSE,EXIDEIND,6.7x
133,NSE,FCONSUMER,6.7x
134,NSE,FDC,6.7x
135,NSE,FEDERALBNK,6.7x
136,NSE,FINCABLES,6.7x
137,NSE,FINEORG,6.7x
138,NSE,FINPIPE,6.7x
139,NSE,FLFL,6.7x
140,NSE,FMGOETZE,6.7x
141,NSE,FORTIS,6.7x
142,NSE,FRETAIL,6.7x
143,NSE,FSL,6.7x
144,NSE,GAIL,6.7x
145,NSE,GALAXYSURF,6.7x
146,NSE,GARFIBRES,6.7x
147,NSE,GAYAPROJ,6.7x
148,NSE,GEPIL,6.7x
149,NSE,GESHIP,6.7x
150,NSE,GET&D,6.7x
151,NSE,GHCL,6.7x
152,NSE,GICRE,6.7x
153,NSE,GILLETTE,6.7x
154,NSE,GLAXO,6.7x
155,NSE,GLENMARK,5x
156,NSE,GMDCLTD,6.7x
157,NSE,GMRINFRA,6.7x
158,NSE,GNFC,5x
159,NSE,GODFRYPHLP,6.7x
160,NSE,GODREJAGRO,6.7x
161,NSE,GODREJCP,6.7x
162,NSE,GODREJIND,6.7x
163,NSE,GODREJPROP,6.7x
164,NSE,GPPL,6.7x
165,NSE,GRANULES,6.7x
166,NSE,GRAPHITE,6.7x
167,NSE,GRASIM,6.7x
168,NSE,GREAVESCOT,6.7x
169,NSE,GRINDWELL,6.7x
170,NSE,GSFC,6.7x
171,NSE,GSPL,6.7x
172,NSE,GUJALKALI,6.7x
173,NSE,GUJGASLTD,6.7x
174,NSE,GULFOILLUB,6.7x
175,NSE,HAL,6.7x
176,NSE,HATSUN,6.7x
177,NSE,HAVELLS,6.7x
178,NSE,HCLTECH,6.7x
179,NSE,HDFC,6.7x
180,NSE,HDFCAMC,6.7x
181,NSE,HDFCBANK,6.7x
182,NSE,HDFCLIFE,6.7x
183,NSE,HEG,6.5x
184,NSE,HEIDELBERG,6.7x
185,NSE,HERITGFOOD,6.7x
186,NSE,HEROMOTOCO,6.7x
187,NSE,HFCL,6.5x
188,NSE,HIMATSEIDE,5x
189,NSE,HINDALCO,6.7x
190,NSE,HINDCOPPER,6.3x
191,NSE,HINDPETRO,5.7x
192,NSE,HINDUNILVR,6.7x
193,NSE,HINDZINC,6.7x
194,NSE,HONAUT,6.7x
195,NSE,HSCL,6.7x
196,NSE,HUDCO,6.7x
197,NSE,IBREALEST,6.4x
198,NSE,IBULHSGFIN,5x
199,NSE,ICICIBANK,6.7x
200,NSE,ICICIGI,6.7x
201,NSE,ICICIPRULI,5.8x
202,NSE,ICRA,6.7x
203,NSE,IDBI,6.7x
204,NSE,IDFC,5x
205,NSE,IDFCFIRSTB,5x
206,NSE,IEX,6.7x
207,NSE,IFBIND,6.7x
208,NSE,IFCI,6.6x
209,NSE,IGL,6.7x
210,NSE,IIFL,5x
211,NSE,INDHOTEL,6.7x
212,NSE,INDIACEM,6.7x
213,NSE,INDIAMART,6.7x
214,NSE,INDIANB,6.7x
215,NSE,INDIGO,6.7x
